image_id,arquivo_original,caminho_drive,fornecedor,fornecedor_slug,sku,sku_slug,codigo,seq,md5,s3_key,s3_url,etag,status,versao,enviado_em
1XqcNJWxXczV3L6ggJVYBIZ5FyQ81XuXI,WING3 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/WING3 - JAL.jpg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,3,e51938c891fcd19b95b8f553bd364e2e,sollos/poltrona-wing-giratoria/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/3.jpg,,previsto,LATEST,
1Qc2YcoukQHInkfwWnEZL7C9BOIeTMffh,WING4 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/WING4 - JAL.jpeg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,4,71ff5129dde16870cf468da2c968cc7a,sollos/poltrona-wing-giratoria/4.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/4.jpg,,previsto,LATEST,
1M0AMPLKX85BYHZykxrDlELruVoiyUT4n,WING5 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/WING5 - JAL.jpeg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,5,59709ee069b18290242267e864673462,sollos/poltrona-wing-giratoria/5.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/5.jpg,,previsto,LATEST,
1eznXMmGvGGHhMiNl9TgVJXqOn1nTS_F2,WING6 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/WING6 - JAL.jpeg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,6,233f7f1258b1adbb1dca7371e7cbc66f,sollos/poltrona-wing-giratoria/6.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/6.jpg,,previsto,LATEST,
1p0PHFoUxHs1OLESX1LdOzuSCv3x_l5nI,WING7 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/WING7 - JAL.jpg,Sollos,sollos,POLTRONA WING - GIRATÓRIA,poltrona-wing-giratoria,JAL,7,6a0dae8173f2278e4fd09528254c2caa,sollos/poltrona-wing-giratoria/7.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-wing-giratoria/7.jpg,,previsto,LATEST,
16FXJW7ALpniDhNAKTQP_OnE-fYI-Ry-s,JUNE1 - JAL.jpg,LIVING/SOFÁS - GD/*SOFÁS/JUNE1 - JAL.jpg,Sollos,sollos,• Sofá June,sofa-june,JAL,1,99c5e2b6e6a37a89dff4113d762a45ff,sollos/sofa-june/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/1.jpg,,previsto,LATEST,
1VHKo4fz5qUa83M9x-zdwhJ6q6KNZxPNR,JUNE1 - JAL.png,LIVING/POLTRONAS - GD/*POLTRONAS/JUNE1 - JAL.png,Sollos,sollos,• Sofá June,sofa-june,JAL,2,55d87d32effab7c7c8fe4fa670ec0dc2,sollos/sofa-june/2.png,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/2.png,,previsto,LATEST,
1tAiwEPQckTXm4IcVe1JIdaHk02TgEwQn,JUNE2 - JAL.jpeg,LIVING/CADEIRAS - GD/*CADEIRAS/JUNE2 - JAL.jpeg,Sollos,sollos,• Sofá June,sofa-june,JAL,3,fed0aebdab929bef23a222fe907bad74,sollos/sofa-june/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/3.jpg,,previsto,LATEST,
1xKAk0B8Q_b9b3O76LndU4S59Qa4HTq3U,JUNE2 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/JUNE2 - JAL.jpg,Sollos,sollos,• Sofá June,sofa-june,JAL,4,c3b6e374a5028c67bb408e4371866186,sollos/sofa-june/4.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/4.jpg,,previsto,LATEST,
1RRRfedA1LFYdNyEN1JKPocZ2l5OtIJbM,JUNE3 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/JUNE3 - JAL.jpeg,Sollos,sollos,• Sofá June,sofa-june,JAL,5,8db2d8bebe6f31fb87f42d103e4c3700,sollos/sofa-june/5.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/5.jpg,,previsto,LATEST,
1QMjuy8l5kVk12jvhj_eqMkG5wZuSxGnq,JUNE3 - JAL.jpg,LIVING/SOFÁS - GD/*SOFÁS/JUNE3 - JAL.jpg,Sollos,sollos,• Sofá June,sofa-june,JAL,6,94e5fa50efc5d342e8468677252871e6,sollos/sofa-june/6.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/6.jpg,,previsto,LATEST,
1bfqT-5U8pQrBQFCx5wWF_U6CykZjIb0F,JUNE4 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/JUNE4 - JAL.jpeg,Sollos,sollos,• Sofá June,sofa-june,JAL,7,609848bec521d3d5f150877d690dc33d,sollos/sofa-june/7.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/7.jpg,,previsto,LATEST,
1Dga-5wfxobIOLGl8E8IXDYyQMZSR6DEm,JUNE4 - JAL.jpg,LIVING/SOFÁS - GD/*SOFÁS/JUNE4 - JAL.jpg,Sollos,sollos,• Sofá June,sofa-june,JAL,8,fca05efa0c1603ee4c6f5662ac4f9faf,sollos/sofa-june/8.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/8.jpg,,previsto,LATEST,
12xdQ1jdBahpr-UHUCHv8S1W2z4RaxvqP,JUNE5 - JAL.jpeg,LIVING/POLTRONAS - GD/*POLTRONAS/JUNE5 - JAL.jpeg,Sollos,sollos,• Sofá June,sofa-june,JAL,9,233f7f1258b1adbb1dca7371e7cbc66f,sollos/sofa-june/9.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/sofa-june/9.jpg,,previsto,LATEST,
1P0HvhJyZ_Qd1u8AkqFU06NnBcmQiwwMp,TARJA1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/TARJA1 - JAL.jpg,Sollos,sollos,• Poltrona Tarja,poltrona-tarja,JAL,1,9cf0d67f60814f606707f253531e08a9,sollos/poltrona-tarja/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-tarja/1.jpg,,previsto,LATEST,
1bOg1ahxjTT21NTgIW-edP5jw4s1stQFE,JOB1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/JOB1 - JAL.jpg,Sollos,sollos,PUFF JOB,puff-job,JAL,1,f9e8db50e769d09ecceb34ddbb045ae2,sollos/puff-job/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/puff-job/1.jpg,,previsto,LATEST,
1sUdw_ih5gq9oKNaCBxR7UnNLwS1xvSmB,ELIZ1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/ELIZ1 - JAL.jpg,Sollos,sollos,PUFF ELIZ,puff-eliz,JAL,1,ed99287282b2afd9c768213b6f5cf886,sollos/puff-eliz/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/puff-eliz/1.jpg,,previsto,LATEST,
1l63TRq-qIQO2PkQBfKVIwvHo6Wm-6B_j,ELIZ2 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/ELIZ2 - JAL.jpg,Sollos,sollos,PUFF ELIZ,puff-eliz,JAL,2,b6418ef2973191469a277f38401be639,sollos/puff-eliz/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/puff-eliz/2.jpg,,previsto,LATEST,
1fO_eR7z6InT66wYamTfiJRpZmf1X7fzT,LINNA1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/LINNA1 - JAL.jpg,Sollos,sollos,POLTRONA LINNA,poltrona-linna,JAL,1,130902580e3c709061ec7a2c8ac9511b,sollos/poltrona-linna/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-linna/1.jpg,,previsto,LATEST,
1VHtsbSXvXcfxYWeA6N8NvqCo37nluisp,LINNA2 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/LINNA2 - JAL.jpg,Sollos,sollos,POLTRONA LINNA,poltrona-linna,JAL,2,2ece953e213b43ee22c2afb90ba6e276,sollos/poltrona-linna/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-linna/2.jpg,,previsto,LATEST,
1J9F0eiSNt0uMQL_zdm4YXFMIjH1FnrRL,CLARA1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/CLARA1 - JAL.jpg,Sollos,sollos,PUFF CLARA,puff-clara,JAL,1,c898ab94a9fc439a13642a274a0b0c87,sollos/puff-clara/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/puff-clara/1.jpg,,previsto,LATEST,
1oPalfqCLV_Mn7WzJsg6ZYDKI_DahLzVI,FIVE1 - JAL.jpg,LIVING/POLTRONAS - GD/*POLTRONAS/FIVE1 - JAL.jpg,Sollos,sollos,POLTRONA FIVE - L/E,poltrona-five-l-e,JAL,1,3e33dcc6da4f07bd6e622bb3d4b73ce5,sollos/poltrona-five-l-e/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/poltrona-five-l-e/1.jpg,,previsto,LATEST,
